pubmedId,title,firstAuthor,year,summary
15328540,Sir2-independent life span extension by calorie restriction in yeast.,Kaeberlein,2004,Kaeberlein Kennedy 2004 PLoS Biology
15684413,Substrate-specific Activation of Sirtuins by Resveratrol,Kaeberlein,2005,Kaeberlein Kennedy 2005 JBC
15610758,Large-scale identification in yeast of conserved ageing genes.,Kaeberlein,2005,Kaeberlein Kennedy 2005 Mech Ageing Dev
16311627,Increased life span due to calorie restriction in respiratory-deficient yeast.,Kaeberlein,2005,Kaeberlein Kennedy 2005 PLoS Genetics
16293764,Regulation of yeast replicative life span by TOR and Sch9 in response to nutrients.,Kaeberlein,2005,Kaeberlein Kennedy 2005 Science
16741098,"Comment on ""HST2 mediates SIR2-independent life-span extension by calorie restriction"".",Kaeberlein,2006,Kaeberlein Kennedy 2006 Science
17129213,Sirtuin-independent effects of nicotinamide on lifespan extension from calorie restriction in yeast.,Tsuchiya,2006,Tsuchiya Kaeberlain 2006 Aging Cell
19030232,Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity.,Schmidt,2008,Managbanag Kaeberlein 2008 PLoS One
18340043,Quantitative evidence for conserved longevity pathways between divergent eukaryotic species.,Smith,2008,Smith Kennedy 2008 Genome Research
18423200,Yeast life span extension by depletion of 60s ribosomal subunits is mediated by Gcn4.,Steffen,2008,Steffen Kaeberlein 2008 Cell
19516333,Histone H4 lysine 16 acetylation regulates cellular lifespan.,Dang,2009,Dang Berger 2009 Nature
21447998,A genomic analysis of chronological longevity factors in budding yeast.,Burtner,2011,Burtner Kaeberlein 2011 Cell Cycle
21902802,Sir2 deletion prevents lifespan extension in 32 long-lived mutants.,Delaney,2011,Delaney Kaeberlein 2011 Aging Cell
21191185,Quantitative evidence for early life fitness defects from 32 longevity-associated alleles in yeast.,Delaney,2011,Delaney Kaeberlein 2011 Cell Cycle
21931558,Elevated proteasome capacity extends replicative lifespan in Saccharomyces cerevisiae.,Kruegel,2011,Kruegel Schmidt 2011 PLoS Genetics
